listing_id,proxy_mean,proxy_std,review_count,mabs_mean,mover_mean,munder_mean,rating_mean,delta_S01,delta_S02,delta_S03,delta_S04,delta_S05,delta_S06,delta_S07,delta_S08,delta_S09,delta_S10,over_ratio,under_ratio
989010058281318863,-0.059399575226054636,0.04131403028345652,5,0.10835574479999996,0.046570110199999945,0.06178563459999999,5.0,-0.03610120799999998,0.005265277999999962,-0.16500564999999998,-0.0042027759999999584,0.010900081999999978,0.014280647999999962,0.007131497999999939,-0.06805526200000002,-0.02337924400000003,0.10701139,0.2,0.8
992554549672159765,-0.011951057805935611,0.03694611726281143,11,0.07950967818181814,0.0207012337272727,0.058808444454545424,4.62,-0.016861202727272786,-0.039647769999999936,-0.1615241509090909,0.012497200909090882,-0.0034477481818181556,0.025405753636363663,-0.037424915454545536,-0.11595440181818174,-0.040519288181818165,-0.003595584545454518,0.2727272727272727,0.7272727272727273
993431459821117738,-0.04228434345084986,0.03885059160465889,5,0.08375273659999995,0.017897969999999923,0.06585476659999996,5.0,-0.15473434199999997,0.016894483999999998,-0.16368188999999994,0.03528289600000004,-0.007448689999999961,-0.009282342000000074,-0.02564870800000002,-0.13893625599999995,-0.022734853999999978,-0.00927826399999998,0.2,0.8
1004978540001566331,-0.006859875629407152,0.04440085208343006,46,0.13364031731521736,0.07910324827173908,0.05453706904347823,4.99,-0.17819201326086956,0.16625541043478254,-0.08535887195652168,0.2140624856521739,0.006112210217391293,0.17569013847826082,0.031747134347826125,-0.08371335543478263,0.03674007630434776,-0.03768142249999996,0.41304347826086957,0.5869565217391305
1005978346817864540,0.006758534971821144,0.034120921066988226,39,0.08894219399999999,0.021686239999999926,0.06725595399999999,4.72,-0.006666628205128257,-0.05655580179487179,-0.1271383361538462,-0.010449960256410309,-0.02668950794871794,-0.008724832051282074,-0.04920004384615384,-0.12480351435897433,-0.013164384615384592,-0.03230413076923076,0.5641025641025641,0.4358974358974359
1010759793485911351,-0.04462310462037441,0.04340706871556762,32,0.11477483665624996,0.05756532784374993,0.05720950881249999,4.87,-0.096303260625,0.17071087093749993,-0.10727979374999995,0.21520019281249994,0.014590300624999959,0.045778422812500004,-0.079953139375,-0.08818659625000004,-0.041941748125000025,-0.02905705874999997,0.1875,0.8125
1010759799610182054,0.011233179496860176,0.0434485672054972,58,0.14290124201724136,0.08888423529310341,0.0540170067241379,4.89,-0.1276168125862069,0.1789904244827586,-0.09066959931034482,0.21530532327586202,0.036508791206896485,0.10815567431034484,-0.12943160931034475,-0.10254211672413792,0.02633282741379307,0.23363938293103448,0.6379310344827587,0.3620689655172414
1010760496997974537,0.005049216251859018,0.06801482632247983,6,0.12283235916666663,0.06883429716666667,0.05399806199999993,4.92,-0.03919762333333331,0.025082116666666644,-0.05398222499999997,0.05492630333333331,0.047143600000000015,-0.014134244999999983,0.003554539999999972,-0.017772174999999973,0.04080599500000002,0.10193606500000002,0.5,0.5
1013659440189111738,-0.01512279748819286,0.04317952915624067,23,0.08963594456521735,0.02780228313043473,0.06183366143478257,4.92,-0.058330960434782565,-0.04748460173913041,-0.08282789086956523,0.08677633217391299,0.0012959913043477695,-0.016327493043478237,-0.06694926913043477,-0.06871336608695654,-0.062145639999999946,-0.02560688521739126,0.43478260869565216,0.5652173913043478
1016050146219474145,-0.08589113826006185,0.07304406853873219,21,0.1296322282333333,0.06993032018571428,0.05970190804761902,4.67,-0.04330830571428565,0.03223351285714289,-0.0620198966666666,0.09537856095238093,0.014743728095238103,0.18247273666666666,-0.05433759095238089,0.02511863380952376,-0.03784813195238096,-0.050149125714285724,0.09523809523809523,0.9047619047619048
1018295677909928470,-0.00980796789470927,0.05947159205866476,13,0.09385405138461535,0.04441661384615382,0.0494374375384615,4.9399999999999995,-0.06255254615384619,0.09819809846153846,-0.15271642461538454,0.12573522846153848,0.021368016923076917,-0.005543254615384645,-0.09298133615384609,-0.05742404307692313,0.08706879538461541,-0.011360771538461545,0.6153846153846154,0.38461538461538464
1018299533220989494,0.02984876271850132,0.04314884913952149,43,0.09130900818604647,0.018351783813953464,0.07295722437209298,4.92,-0.112813478372093,-0.1108065069767442,-0.056903323023255785,-0.08322540023255814,0.007116432325581417,-0.04654327325581394,-0.05982194581395349,-0.012430757209302382,-0.04387753348837204,-0.026748619534883656,0.7906976744186046,0.20930232558139536
1018972187574908115,0.003955199333053668,0.04259834519117357,29,0.09635648793103445,0.044084415241379245,0.05227207268965513,4.73,-0.07112426999999998,0.1075503003448275,-0.09279569931034479,0.1195667055172413,-0.0018035337931034128,0.056018651724137954,-0.05518447620689655,-0.10699496896551723,0.0005889537931034075,-0.037698237586206856,0.5517241379310345,0.4482758620689655
1020518500251473070,-0.0029832846451013097,0.038946370103687684,75,0.0943539163757333,0.04054405516239997,0.05380986121333328,4.66,-0.08771305293333333,-0.025811559599999936,-0.026138964000000053,-0.0010104905333332876,-0.03952343850933331,0.0681985173333333,-0.03261565986666662,0.03759093039999995,0.0017465506666666823,-0.02738089346666665,0.52,0.48
1020993107237604444,0.011757061351865172,0.056577325916285975,10,0.11892091519999999,0.0681397861,0.05078112909999997,4.54,-0.07138719800000004,0.140376522,-0.03064978500000004,0.18195356000000004,0.03272727600000003,0.005160108000000009,-0.03116018200000001,-0.09317740799999999,0.031966463000000035,0.007777213999999949,0.4,0.6
1021011347006185640,0.007439623586388854,0.049641091176766974,15,0.10227761436666662,0.06309030849999991,0.03918730586666667,4.59,-0.03714056866666672,0.10183239599999996,-0.0058666456666666925,0.15800844533333333,0.041857877333333265,0.004397236666666622,-0.04638443000000004,-0.004640616666666697,0.03319393799999994,-0.00622760600000002,0.5333333333333333,0.4666666666666667
1043565517982254841,-0.03267823448047556,0.06661201058616474,9,0.13846130166666665,0.09411144233333332,0.044349859333333276,4.29,-0.10282857888888891,0.1911024977777778,-0.01744743777777773,0.2070291655555556,0.015132674444444423,0.02454663777777771,0.14450412,0.034700892222222265,0.007756337777777773,-0.0068804788888888226,0.2222222222222222,0.7777777777777778
1052381112116173923,0.0004149163191228503,0.036557868154120446,8,0.07619572824999998,0.014225197499999976,0.061970530749999975,4.89,-0.11589406499999996,-0.03658763124999996,-0.12697672249999997,-0.024653663750000072,-0.005056913749999973,0.008685853749999976,-0.03421090874999999,-0.0854377625,-0.03982447999999999,-0.01749703874999995,0.375,0.625
1061814091773376272,-0.006263866958649647,0.03717573196476341,13,0.09410586976923072,0.03850826230769226,0.055597607461538426,4.67,-0.05372394307692314,-0.009940640769230792,-0.07834316461538463,0.024625459999999964,0.0024664530769231163,0.009009722307692229,-0.009337054615384576,-0.027759144615384614,-0.015658667692307664,-0.01223247153846153,0.38461538461538464,0.6153846153846154
1062527013885315764,0.03676041844012953,0.05009224344075257,8,0.10093326824999997,0.025239999499999922,0.07569326875,5.0,-0.014220748750000067,-0.08749041499999995,-0.20557011499999997,-0.06874556875000003,0.024942946249999962,-0.008551132499999989,0.02406565249999995,-0.19234025250000003,-0.0015195462500000242,0.024896487499999925,0.75,0.25
1079742757364810916,-0.007847931531728733,0.03699775271358715,6,0.08347332816666664,0.014223407666666632,0.06924992049999995,5.0,-0.026447261666666666,-0.054601843333333344,-0.14559680833333333,-0.03944369499999993,-0.032338014999999984,-0.08403890666666662,-0.04154513833333337,-0.06231247833333326,-0.05398127500000003,-0.009959706666666682,0.5,0.5
